note_id,client_id,note_text,note_date,linked_transaction_id,linked_transactions
N0435,CL000005,Client authorized outgoing wire to First Limited for approximately CHF 12.7k. Risk checks completed.,2025-04-23,TR00001158,['TR00001158']
N0436,CL000005,Telephone instruction received for large incoming cash credit. Beneficiary: Prime Group. Amount: CHF 21.9k. Client authenticated via dual control.,2025-05-31,TR00001175,['TR00001175']
N0438,CL000005,Confirmed incoming wire from Prime Trading for USD 6.1k. Client requested confirmation.,2025-06-11,TR00001194,['TR00001194']
N0439,CL000005,Follow-up call regarding outgoing cheque debit of EUR 5.2k. Client acknowledged execution.,2025-06-11,TR00001193,['TR00001193']
N0440,CL000005,Client discussed two outgoing payments in June totalling CHF 7.3k. Both processed as instructed.,2025-06-24,TR00001195|TR00001196,"['TR00001195', 'TR00001196']"
N0441,CL000005,Confirmed details for incoming payment: CHF 1.9k from United Investments. Client satisfied with execution timeline.,2025-06-09,TR00001191,['TR00001191']
N0443,CL000005,Confirmed incoming wire from Elite Partners for CHF 684. No further action required.,2025-07-27,TR00001229,['TR00001229']
N0445,CL000005,Incoming security credit from First Group amounting to EUR 6.9k reviewed with client.,2025-09-02,TR00001279,['TR00001279']
N0446,CL000005,Client confirmed incoming security credit from Beta Financial Capital for EUR 7.4k.,2025-09-15,TR00001273,['TR00001273']
N0449,CL000005,Confirmed details for outgoing security debit: International GmbH. Client satisfied with execution timeline and investment rationale.,2024-10-06,TR00001030,['TR00001030']
N0451,CL000005,Reviewed security debit to Alpha Trading for CHF 5.2k. Client confirmed strategic allocation.,2024-10-19,TR00001032,['TR00001032']
N0453,CL000005,Confirmed incoming cash credit of JPY 1.2k from Omega Trading. Routine confirmation.,2024-12-03,TR00001039,['TR00001039']
N0454,CL000005,Reviewed December security debit to International Trade GmbH. Client comfortable with investment rationale.,2024-12-01,TR00001040,['TR00001040']
N0455,CL000005,"Client submitted transfer request: First Corp, EUR 6.4k outgoing. Compliance approved, executing 4 Dec.",2024-12-04,TR00001050,['TR00001050']
N0457,CL000005,Follow-up call regarding the incoming wire from Premier Limited. Client satisfied with execution.,2025-01-02,TR00001075,['TR00001075']
N0458,CL000005,Confirmed details for incoming payment: EUR 4.1k from Global Financial AG. Client satisfied with execution timeline.,2025-01-29,TR00001090,['TR00001090']
N0462,CL000005,Confirmed incoming wire from Prime Trading for USD 6.1k. Routine confirmation provided.,2025-03-06,TR00001123,['TR00001123']
N0463,CL000005,Reviewed outgoing wire to Omega AG for CHF 624. Client confirmed execution.,2025-03-22,TR00001126,['TR00001126']
N0465,CL000005,Confirmed incoming wire of EUR 11.6k from Prime Asset Investments. Large inflow aligned with prior discussion.,2025-03-25,TR00001129,['TR00001129']
N0468,CL000005,Reviewed incoming wire from Beta Corp for USD 3.1k. Client acknowledged receipt.,2025-04-15,TR00001149,['TR00001149']
N0469,CL000005,Confirmed outgoing security debit to First Limited. Client satisfied with execution timeline and investment rationale.,2025-04-23,TR00001158,['TR00001158']
N0472,CL000005,Confirmed incoming wire from International Wealth Group for USD 2.0k. Routine confirmation.,2025-05-23,TR00001167,['TR00001167']
N0475,CL000005,Confirmed incoming wire from First GmbH for CHF 1.2k. Client acknowledged receipt.,2025-06-20,TR00001192,['TR00001192']
N0478,CL000005,Confirmed incoming cash credit of CHF 682 from Prime Asset Corp. Routine booking.,2025-07-01,TR00001208,['TR00001208']
N0480,CL000005,Reviewed outgoing wire to Omega Group for CHF 2.5k. Client confirmed beneficiary details.,2025-07-12,TR00001220,['TR00001220']
N0481,CL000005,Confirmed incoming wire from United Trade AG for EUR 992. Booking confirmed.,2025-07-31,TR00001221,['TR00001221']
N0484,CL000005,Confirmed incoming wire from Beta AG for CHF 309. No further action required.,2025-08-10,TR00001252,['TR00001252']
N0485,CL000005,Reviewed large incoming security credit from First Investments for EUR 6.1k. Portfolio impact discussed.,2025-08-24,TR00001256,['TR00001256']
N0486,CL000005,Confirmed incoming wire from Global Limited for CHF 1.4k. Client satisfied.,2025-08-27,TR00001258,['TR00001258']
N0488,CL000005,Confirmed details for incoming security credit: First Group. Client satisfied with execution timeline and investment rationale.,2025-09-02,TR00001279,['TR00001279']
N0489,CL000005,Reviewed incoming wire from Global Holdings for EUR 1.4k. Routine confirmation provided.,2025-09-08,TR00001271,['TR00001271']
N0491,CL000005,Confirmed incoming security credit from Beta Financial Capital for EUR 7.4k. Large credit aligned with portfolio strategy.,2025-09-15,TR00001273,['TR00001273']
N0492,CL000005,Reviewed outgoing wire to United Capital for EUR 1.4k. Client confirmed execution.,2025-09-23,TR00001281,['TR00001281']
